goterm	gene	cv	fdr
GO:0006950	TLN1	0.45	0.844
GO:0006950	TPR	0.36	0.709
GO:0006950	CACNA1A	0.41	0.38
GO:0006950	FZD4	0.32	0.691
GO:0006950	SMARCA5	0.43	0.0787
GO:0006950	HERC2	0.42	0.596
GO:0006928	LYST	0.31	0.572
GO:0006928	COL5A1	0.42	0.654
GO:0006928	VCAN	0.45	0.475
GO:0006928	AMOTL1	0.3	0.792
GO:0006928	DYNC1H1	0.54	0.41
GO:0006928	EGFR	0.39	0.7
GO:0006928	SLC7A11	0.35	0.822
GO:0006928	NR4A1	0.42	0.186
GO:0006928	ITGA2	0.37	0.671
GO:0006928	LRP1	0.43	0.107
GO:0006928	MYH10	0.44	0.823
GO:0006928	NF1	0.47	0.588
GO:0006928	PIK3CA	0.36	0.507
GO:0006928	PLXNA1	0.13	0.836
GO:0006928	PRKCA	0.24	0.781
GO:0006928	STARD9	0.29	0.636
GO:0006928	SPTAN1	0.31	0.695
GO:0006928	SPTBN1	0.41	0.642
GO:0006928	THBS1	0.83	0
GO:0006928	TLN1	0.45	0.844
GO:0006928	FYCO1	0.35	0.804
GO:0006928	USP9X	0.31	0.813
GO:0006928	ROCK2	0.51	0.00105
GO:0044763	FRY	0.29	0.745
GO:0044763	CENPF	0.43	0.603
GO:0044763	POLQ	0.39	0.211
GO:0044763	MAN1A2	0.31	0.771
GO:0044763	ASCC3	0.46	0.617
GO:0044763	CEP250	0.38	0.769
GO:0044763	AKAP11	0.32	0.686
GO:0044763	LYST	0.31	0.572
GO:0044763	COL5A1	0.42	0.654
GO:0044763	COL7A1	1.24	3.41e-35
GO:0044763	CREBBP	0.39	0.779
GO:0044763	VCAN	0.45	0.475
GO:0044763	AMOTL1	0.3	0.792
GO:0044763	DYNC1H1	0.54	0.41
GO:0044763	EGFR	0.39	0.7
GO:0044763	ABCA2	0.35	0.748
GO:0044763	FASN	0.55	1.36e-09
GO:0044763	FBN1	0.31	0.841
GO:0044763	FBN2	0.62	0.00756
GO:0044763	SIPA1L3	0.36	0.774
GO:0044763	FLNA	0.45	0.728
GO:0044763	FLNB	0.39	0.794
GO:0044763	FLNC	0.41	0.84
GO:0044763	VPS13A	0.45	0.277
GO:0044763	PDS5A	0.49	0.486
GO:0044763	ATP11A	0.23	0.801
GO:0044763	UBR2	0.35	0.681
GO:0044763	DNAJC13	0.34	0.806
GO:0044763	SLC7A11	0.35	0.822
GO:0044763	RNF169	0.37	0.721
GO:0044763	AFF4	0.22	0.808
GO:0044763	TNRC6A	0.35	0.788
GO:0044763	ARL10	0.36	0.61
GO:0044763	TMOD2	0.4	0.537
GO:0044763	HIVEP1	0.37	0.704
GO:0044763	HIVEP2	0.47	0.724
GO:0044763	NR4A1	0.42	0.186
GO:0044763	TNC	0.45	0.776
GO:0044763	IGF2R	0.29	0.831
GO:0044763	ITGA2	0.37	0.671
GO:0044763	KPNA4	0.32	0.58
GO:0044763	LRP1	0.43	0.107
GO:0044763	MKI67	0.62	0.000134
GO:0044763	MYH10	0.44	0.823
GO:0044763	NF1	0.47	0.588
GO:0044763	NOTCH2	0.43	0.438
GO:0044763	NUMA1	0.34	0.845
GO:0044763	NUP98	0.65	3.76e-13
GO:0044763	UBR5	0.33	0.235
GO:0044763	PIK3CA	0.36	0.507
GO:0044763	PLXNA1	0.13	0.836
GO:0044763	SSH1	0.33	0.713
GO:0044763	PHIP	0.47	0.331
GO:0044763	VPS13D	0.3	0.757
GO:0044763	PRKCA	0.24	0.781
GO:0044763	PRKDC	0.36	0.732
GO:0044763	KIDINS220	0.39	0.81
GO:0044763	STARD9	0.29	0.636
GO:0044763	CHD8	0.55	0.000505
GO:0044763	RAB3B	0.41	0.63
GO:0044763	REV3L	0.34	0.257
GO:0044763	AFAP1	0.28	0.82
GO:0044763	SLC5A3	0.54	0.0522
GO:0044763	SON	0.38	0.832
GO:0044763	SPTAN1	0.31	0.695
GO:0044763	SPTBN1	0.41	0.642
GO:0044763	BRCA2	0.4	0.424
GO:0044763	TEAD1	0.61	0
GO:0044763	THBS1	0.83	0
GO:0044763	TLN1	0.45	0.844
GO:0044763	TPR	0.36	0.709
GO:0044763	CACNA1A	0.41	0.38
GO:0044763	ALMS1	0.45	0.296
GO:0044763	FYCO1	0.35	0.804
GO:0044763	THSD4	0.24	0.815
GO:0044763	SLC38A1	0.48	0.134
GO:0044763	NRIP1	0.23	0.79
GO:0044763	USP9X	0.31	0.813
GO:0044763	FZD4	0.32	0.691
GO:0044763	SMARCA5	0.43	0.0787
GO:0044763	AGPS	0.42	0.555
GO:0044763	DOCK7	0.35	0.786
GO:0044763	HELZ2	0.39	0.546
GO:0044763	CBL	0.42	0.623
GO:0044763	IQGAP1	0.35	0.797
GO:0044763	HERC2	0.42	0.596
GO:0044763	DSEL	0.3	0.833
GO:0044763	MED14	0.45	0.364
GO:0044763	GTF3C4	0.24	0.755
GO:0044763	ROCK2	0.51	0.00105
GO:0044763	H6PD	0.38	0.839
GO:0044763	USP34	0.29	0.766
GO:0044763	PIEZO1	0.29	0.648
GO:0044763	CKAP5	0.43	0.527
GO:0006464	CENPF	0.43	0.603
GO:0006464	MAN1A2	0.31	0.771
GO:0006464	ALPK2	0.29	0.828
GO:0006464	CREBBP	0.39	0.779
GO:0006464	EGFR	0.39	0.7
GO:0006464	LMTK2	0.32	0.735
GO:0006464	UBR2	0.35	0.681
GO:0006464	USP24	0.4	0.742
GO:0006464	RNF169	0.37	0.721
GO:0006464	NF1	0.47	0.588
GO:0006464	NKTR	0.36	0.717
GO:0006464	NUP98	0.65	3.76e-13
GO:0006464	UBR5	0.33	0.235
GO:0006464	PIK3CA	0.36	0.507
GO:0006464	SSH1	0.33	0.713
GO:0006464	PHIP	0.47	0.331
GO:0006464	PRKCA	0.24	0.781
GO:0006464	PRKDC	0.36	0.732
GO:0006464	KIDINS220	0.39	0.81
GO:0006464	PTPN14	0.38	0.818
GO:0006464	RAB3B	0.41	0.63
GO:0006464	SPTAN1	0.31	0.695
GO:0006464	SPTBN1	0.41	0.642
GO:0006464	BRCA2	0.4	0.424
GO:0006464	THBS1	0.83	0
GO:0006464	TPR	0.36	0.709
GO:0006464	USP9X	0.31	0.813
GO:0006464	FZD4	0.32	0.691
GO:0006464	DOCK7	0.35	0.786
GO:0006464	CBL	0.42	0.623
GO:0006464	IQGAP1	0.35	0.797
GO:0006464	HERC2	0.42	0.596
GO:0006464	GTF3C4	0.24	0.755
GO:0006464	ROCK2	0.51	0.00105
GO:0006464	USP34	0.29	0.766
GO:0036211	CENPF	0.43	0.603
GO:0036211	MAN1A2	0.31	0.771
GO:0036211	ALPK2	0.29	0.828
GO:0036211	CREBBP	0.39	0.779
GO:0036211	EGFR	0.39	0.7
GO:0036211	LMTK2	0.32	0.735
GO:0036211	UBR2	0.35	0.681
GO:0036211	USP24	0.4	0.742
GO:0036211	RNF169	0.37	0.721
GO:0036211	NF1	0.47	0.588
GO:0036211	NKTR	0.36	0.717
GO:0036211	NUP98	0.65	3.76e-13
GO:0036211	UBR5	0.33	0.235
GO:0036211	PIK3CA	0.36	0.507
GO:0036211	SSH1	0.33	0.713
GO:0036211	PHIP	0.47	0.331
GO:0036211	PRKCA	0.24	0.781
GO:0036211	PRKDC	0.36	0.732
GO:0036211	KIDINS220	0.39	0.81
GO:0036211	PTPN14	0.38	0.818
GO:0036211	RAB3B	0.41	0.63
GO:0036211	SPTAN1	0.31	0.695
GO:0036211	SPTBN1	0.41	0.642
GO:0036211	BRCA2	0.4	0.424
GO:0036211	THBS1	0.83	0
GO:0036211	TPR	0.36	0.709
GO:0036211	USP9X	0.31	0.813
GO:0036211	FZD4	0.32	0.691
GO:0036211	DOCK7	0.35	0.786
GO:0036211	CBL	0.42	0.623
GO:0036211	IQGAP1	0.35	0.797
GO:0036211	HERC2	0.42	0.596
GO:0036211	GTF3C4	0.24	0.755
GO:0036211	ROCK2	0.51	0.00105
GO:0036211	USP34	0.29	0.766
GO:0002682	LYST	0.31	0.572
GO:0002682	CREBBP	0.39	0.779
GO:0002682	EGFR	0.39	0.7
GO:0002682	TNRC6A	0.35	0.788
GO:0002682	NR4A1	0.42	0.186
GO:0002682	NF1	0.47	0.588
GO:0002682	PIK3CA	0.36	0.507
GO:0002682	PRKCA	0.24	0.781
GO:0002682	PRKDC	0.36	0.732
GO:0002682	SPTAN1	0.31	0.695
GO:0002682	SPTBN1	0.41	0.642
GO:0002682	THBS1	0.83	0
GO:0006605	ASCC3	0.46	0.617
GO:0006605	EGFR	0.39	0.7
GO:0006605	FLNA	0.45	0.728
GO:0006605	VPS13A	0.45	0.277
GO:0006605	KPNA4	0.32	0.58
GO:0006605	NF1	0.47	0.588
GO:0006605	NUP98	0.65	3.76e-13
GO:0006605	UBR5	0.33	0.235
GO:0006605	PHIP	0.47	0.331
GO:0006605	VPS13D	0.3	0.757
GO:0006605	SPTBN1	0.41	0.642
GO:0006605	TPR	0.36	0.709
GO:0006952	LYST	0.31	0.572
GO:0006952	CREBBP	0.39	0.779
GO:0006952	EGFR	0.39	0.7
GO:0006952	TNRC6A	0.35	0.788
GO:0006952	NR4A1	0.42	0.186
GO:0006952	NF1	0.47	0.588
GO:0006952	PIK3CA	0.36	0.507
GO:0006952	PRKCA	0.24	0.781
GO:0006952	PRKDC	0.36	0.732
GO:0006952	SPTAN1	0.31	0.695
GO:0006952	SPTBN1	0.41	0.642
GO:0006952	THBS1	0.83	0
GO:0006955	LYST	0.31	0.572
GO:0006955	CREBBP	0.39	0.779
GO:0006955	EGFR	0.39	0.7
GO:0006955	TNRC6A	0.35	0.788
GO:0006955	NR4A1	0.42	0.186
GO:0006955	NF1	0.47	0.588
GO:0006955	PIK3CA	0.36	0.507
GO:0006955	PRKCA	0.24	0.781
GO:0006955	PRKDC	0.36	0.732
GO:0006955	SPTAN1	0.31	0.695
GO:0006955	SPTBN1	0.41	0.642
GO:0006955	THBS1	0.83	0
GO:0007417	VCAN	0.45	0.475
GO:0007417	EGFR	0.39	0.7
GO:0007417	SLC7A11	0.35	0.822
GO:0007417	MYH10	0.44	0.823
GO:0007417	NF1	0.47	0.588
GO:0007417	PRKDC	0.36	0.732
GO:0007417	CHD8	0.55	0.000505
GO:0007417	BRCA2	0.4	0.424
GO:0007417	CACNA1A	0.41	0.38
GO:0007417	USP9X	0.31	0.813
GO:0007417	FZD4	0.32	0.691
GO:0007417	DOCK7	0.35	0.786
GO:0032940	LYST	0.31	0.572
GO:0032940	FLNA	0.45	0.728
GO:0032940	MYH10	0.44	0.823
GO:0032940	NF1	0.47	0.588
GO:0032940	PRKCA	0.24	0.781
GO:0032940	RAB3B	0.41	0.63
GO:0032940	SPTBN1	0.41	0.642
GO:0032940	THBS1	0.83	0
GO:0032940	TLN1	0.45	0.844
GO:0032940	CACNA1A	0.41	0.38
GO:0032940	FZD4	0.32	0.691
GO:0032940	IQGAP1	0.35	0.797
GO:0042060	LYST	0.31	0.572
GO:0042060	COL5A1	0.42	0.654
GO:0042060	FLNA	0.45	0.728
GO:0042060	CBX5	0.39	0.396
GO:0042060	SLC7A11	0.35	0.822
GO:0042060	ITGA2	0.37	0.671
GO:0042060	MYH10	0.44	0.823
GO:0042060	NF1	0.47	0.588
GO:0042060	PIK3CA	0.36	0.507
GO:0042060	PRKCA	0.24	0.781
GO:0042060	THBS1	0.83	0
GO:0042060	TLN1	0.45	0.844
GO:0043066	EGFR	0.39	0.7
GO:0043066	FLNA	0.45	0.728
GO:0043066	LRP1	0.43	0.107
GO:0043066	NOTCH2	0.43	0.438
GO:0043066	PIK3CA	0.36	0.507
GO:0043066	PHIP	0.47	0.331
GO:0043066	PRKCA	0.24	0.781
GO:0043066	PRKDC	0.36	0.732
GO:0043066	SON	0.38	0.832
GO:0043066	THBS1	0.83	0
GO:0043066	CACNA1A	0.41	0.38
GO:0043066	CBL	0.42	0.623
GO:0043069	EGFR	0.39	0.7
GO:0043069	FLNA	0.45	0.728
GO:0043069	LRP1	0.43	0.107
GO:0043069	NOTCH2	0.43	0.438
GO:0043069	PIK3CA	0.36	0.507
GO:0043069	PHIP	0.47	0.331
GO:0043069	PRKCA	0.24	0.781
GO:0043069	PRKDC	0.36	0.732
GO:0043069	SON	0.38	0.832
GO:0043069	THBS1	0.83	0
GO:0043069	CACNA1A	0.41	0.38
GO:0043069	CBL	0.42	0.623
GO:0046903	LYST	0.31	0.572
GO:0046903	FLNA	0.45	0.728
GO:0046903	MYH10	0.44	0.823
GO:0046903	NF1	0.47	0.588
GO:0046903	PRKCA	0.24	0.781
GO:0046903	RAB3B	0.41	0.63
GO:0046903	SPTBN1	0.41	0.642
GO:0046903	THBS1	0.83	0
GO:0046903	TLN1	0.45	0.844
GO:0046903	CACNA1A	0.41	0.38
GO:0046903	FZD4	0.32	0.691
GO:0046903	IQGAP1	0.35	0.797
GO:0051338	CENPF	0.43	0.603
GO:0051338	EGFR	0.39	0.7
GO:0051338	NF1	0.47	0.588
GO:0051338	PIK3CA	0.36	0.507
GO:0051338	PRKCA	0.24	0.781
GO:0051338	KIDINS220	0.39	0.81
GO:0051338	SPTAN1	0.31	0.695
GO:0051338	SPTBN1	0.41	0.642
GO:0051338	THBS1	0.83	0
GO:0051338	TPR	0.36	0.709
GO:0051338	FZD4	0.32	0.691
GO:0051338	IQGAP1	0.35	0.797
GO:0051726	CENPF	0.43	0.603
GO:0051726	CREBBP	0.39	0.779
GO:0051726	EGFR	0.39	0.7
GO:0051726	NR4A1	0.42	0.186
GO:0051726	NOTCH2	0.43	0.438
GO:0051726	PHIP	0.47	0.331
GO:0051726	PRKCA	0.24	0.781
GO:0051726	PRKDC	0.36	0.732
GO:0051726	SON	0.38	0.832
GO:0051726	BRCA2	0.4	0.424
GO:0051726	THBS1	0.83	0
GO:0051726	TPR	0.36	0.709
GO:0060548	EGFR	0.39	0.7
GO:0060548	FLNA	0.45	0.728
GO:0060548	LRP1	0.43	0.107
GO:0060548	NOTCH2	0.43	0.438
GO:0060548	PIK3CA	0.36	0.507
GO:0060548	PHIP	0.47	0.331
GO:0060548	PRKCA	0.24	0.781
GO:0060548	PRKDC	0.36	0.732
GO:0060548	SON	0.38	0.832
GO:0060548	THBS1	0.83	0
GO:0060548	CACNA1A	0.41	0.38
GO:0060548	CBL	0.42	0.623
GO:0072594	ASCC3	0.46	0.617
GO:0072594	EGFR	0.39	0.7
GO:0072594	FLNA	0.45	0.728
GO:0072594	VPS13A	0.45	0.277
GO:0072594	KPNA4	0.32	0.58
GO:0072594	NF1	0.47	0.588
GO:0072594	NUP98	0.65	3.76e-13
GO:0072594	UBR5	0.33	0.235
GO:0072594	PHIP	0.47	0.331
GO:0072594	VPS13D	0.3	0.757
GO:0072594	SPTBN1	0.41	0.642
GO:0072594	TPR	0.36	0.709
GO:0043412	CENPF	0.43	0.603
GO:0043412	MAN1A2	0.31	0.771
GO:0043412	ASCC3	0.46	0.617
GO:0043412	ALPK2	0.29	0.828
GO:0043412	CREBBP	0.39	0.779
GO:0043412	EGFR	0.39	0.7
GO:0043412	LMTK2	0.32	0.735
GO:0043412	UBR2	0.35	0.681
GO:0043412	USP24	0.4	0.742
GO:0043412	RNF169	0.37	0.721
GO:0043412	NF1	0.47	0.588
GO:0043412	NKTR	0.36	0.717
GO:0043412	NUP98	0.65	3.76e-13
GO:0043412	UBR5	0.33	0.235
GO:0043412	PIK3CA	0.36	0.507
GO:0043412	SSH1	0.33	0.713
GO:0043412	PHIP	0.47	0.331
GO:0043412	PRKCA	0.24	0.781
GO:0043412	PRKDC	0.36	0.732
GO:0043412	KIDINS220	0.39	0.81
GO:0043412	PTPN14	0.38	0.818
GO:0043412	RAB3B	0.41	0.63
GO:0043412	SPTAN1	0.31	0.695
GO:0043412	SPTBN1	0.41	0.642
GO:0043412	BRCA2	0.4	0.424
GO:0043412	THBS1	0.83	0
GO:0043412	TPR	0.36	0.709
GO:0043412	USP9X	0.31	0.813
GO:0043412	FZD4	0.32	0.691
GO:0043412	DOCK7	0.35	0.786
GO:0043412	CBL	0.42	0.623
GO:0043412	IQGAP1	0.35	0.797
GO:0043412	HERC2	0.42	0.596
GO:0043412	GTF3C4	0.24	0.755
GO:0043412	ROCK2	0.51	0.00105
GO:0043412	USP34	0.29	0.766
GO:0045184	CENPF	0.43	0.603
GO:0045184	ASCC3	0.46	0.617
GO:0045184	LYST	0.31	0.572
GO:0045184	EGFR	0.39	0.7
GO:0045184	LMTK2	0.32	0.735
GO:0045184	DOPEY1	0.37	0.517
GO:0045184	FLNA	0.45	0.728
GO:0045184	VPS13A	0.45	0.277
GO:0045184	DNAJC13	0.34	0.806
GO:0045184	KPNA4	0.32	0.58
GO:0045184	LRP1	0.43	0.107
GO:0045184	NF1	0.47	0.588
GO:0045184	NUP98	0.65	3.76e-13
GO:0045184	UBR5	0.33	0.235
GO:0045184	PHIP	0.47	0.331
GO:0045184	VPS13D	0.3	0.757
GO:0045184	PRKCA	0.24	0.781
GO:0045184	PTPN14	0.38	0.818
GO:0045184	RAB3B	0.41	0.63
GO:0045184	SPTBN1	0.41	0.642
GO:0045184	TPR	0.36	0.709
GO:0045184	CACNA1A	0.41	0.38
GO:0045184	IQGAP1	0.35	0.797
GO:0045184	HERC2	0.42	0.596
GO:0045184	ROCK2	0.51	0.00105
GO:0006461	CENPF	0.43	0.603
GO:0006461	POLQ	0.39	0.211
GO:0006461	CREBBP	0.39	0.779
GO:0006461	SCUBE3	0.42	0.752
GO:0006461	FLNA	0.45	0.728
GO:0006461	TMOD2	0.4	0.537
GO:0006461	NUP98	0.65	3.76e-13
GO:0006461	STARD9	0.29	0.636
GO:0006461	SPTAN1	0.31	0.695
GO:0006461	SPTBN1	0.41	0.642
GO:0006461	TPR	0.36	0.709
GO:0006461	SMARCA5	0.43	0.0787
GO:0006461	PIEZO1	0.29	0.648
GO:0007017	CEP250	0.38	0.769
GO:0007017	LYST	0.31	0.572
GO:0007017	DYNC1H1	0.54	0.41
GO:0007017	FLNA	0.45	0.728
GO:0007017	NUMA1	0.34	0.845
GO:0007017	STARD9	0.29	0.636
GO:0007017	SON	0.38	0.832
GO:0007017	BRCA2	0.4	0.424
GO:0007017	TPR	0.36	0.709
GO:0007017	FYCO1	0.35	0.804
GO:0007017	DOCK7	0.35	0.786
GO:0007017	ROCK2	0.51	0.00105
GO:0007017	CKAP5	0.43	0.527
GO:0009056	CENPF	0.43	0.603
GO:0009056	COL5A1	0.42	0.654
GO:0009056	COL7A1	1.24	3.41e-35
GO:0009056	VCAN	0.45	0.475
GO:0009056	EGFR	0.39	0.7
GO:0009056	FLNA	0.45	0.728
GO:0009056	UBR2	0.35	0.681
GO:0009056	USP24	0.4	0.742
GO:0009056	UBR5	0.33	0.235
GO:0009056	PIK3CA	0.36	0.507
GO:0009056	TPR	0.36	0.709
GO:0009056	USP9X	0.31	0.813
GO:0009056	USP34	0.29	0.766
GO:0009611	LYST	0.31	0.572
GO:0009611	COL5A1	0.42	0.654
GO:0009611	FLNA	0.45	0.728
GO:0009611	CBX5	0.39	0.396
GO:0009611	SLC7A11	0.35	0.822
GO:0009611	TNC	0.45	0.776
GO:0009611	ITGA2	0.37	0.671
GO:0009611	MYH10	0.44	0.823
GO:0009611	NF1	0.47	0.588
GO:0009611	PIK3CA	0.36	0.507
GO:0009611	PRKCA	0.24	0.781
GO:0009611	THBS1	0.83	0
GO:0009611	TLN1	0.45	0.844
GO:0010941	EGFR	0.39	0.7
GO:0010941	FLNA	0.45	0.728
GO:0010941	LRP1	0.43	0.107
GO:0010941	NF1	0.47	0.588
GO:0010941	NOTCH2	0.43	0.438
GO:0010941	PIK3CA	0.36	0.507
GO:0010941	PHIP	0.47	0.331
GO:0010941	PRKCA	0.24	0.781
GO:0010941	PRKDC	0.36	0.732
GO:0010941	SON	0.38	0.832
GO:0010941	THBS1	0.83	0
GO:0010941	CACNA1A	0.41	0.38
GO:0010941	CBL	0.42	0.623
GO:0030029	FRY	0.29	0.745
GO:0030029	FLNA	0.45	0.728
GO:0030029	FLNB	0.39	0.794
GO:0030029	TMOD2	0.4	0.537
GO:0030029	LRP1	0.43	0.107
GO:0030029	MYH10	0.44	0.823
GO:0030029	NF1	0.47	0.588
GO:0030029	SSH1	0.33	0.713
GO:0030029	SPTAN1	0.31	0.695
GO:0030029	SPTBN1	0.41	0.642
GO:0030029	TLN1	0.45	0.844
GO:0030029	ALMS1	0.45	0.296
GO:0030029	ROCK2	0.51	0.00105
GO:0030036	FRY	0.29	0.745
GO:0030036	FLNA	0.45	0.728
GO:0030036	FLNB	0.39	0.794
GO:0030036	TMOD2	0.4	0.537
GO:0030036	LRP1	0.43	0.107
GO:0030036	MYH10	0.44	0.823
GO:0030036	NF1	0.47	0.588
GO:0030036	SSH1	0.33	0.713
GO:0030036	SPTAN1	0.31	0.695
GO:0030036	SPTBN1	0.41	0.642
GO:0030036	TLN1	0.45	0.844
GO:0030036	ALMS1	0.45	0.296
GO:0030036	ROCK2	0.51	0.00105
GO:0033043	CENPF	0.43	0.603
GO:0033043	CEP250	0.38	0.769
GO:0033043	TMOD2	0.4	0.537
GO:0033043	LRP1	0.43	0.107
GO:0033043	UBR5	0.33	0.235
GO:0033043	SSH1	0.33	0.713
GO:0033043	PHIP	0.47	0.331
GO:0033043	AFAP1	0.28	0.82
GO:0033043	SPTAN1	0.31	0.695
GO:0033043	SPTBN1	0.41	0.642
GO:0033043	TPR	0.36	0.709
GO:0033043	ALMS1	0.45	0.296
GO:0033043	ROCK2	0.51	0.00105
GO:0033365	ASCC3	0.46	0.617
GO:0033365	CEP250	0.38	0.769
GO:0033365	EGFR	0.39	0.7
GO:0033365	FLNA	0.45	0.728
GO:0033365	VPS13A	0.45	0.277
GO:0033365	KPNA4	0.32	0.58
GO:0033365	NF1	0.47	0.588
GO:0033365	NUP98	0.65	3.76e-13
GO:0033365	UBR5	0.33	0.235
GO:0033365	PHIP	0.47	0.331
GO:0033365	VPS13D	0.3	0.757
GO:0033365	SPTBN1	0.41	0.642
GO:0033365	TPR	0.36	0.709
GO:0042981	EGFR	0.39	0.7
GO:0042981	FLNA	0.45	0.728
GO:0042981	LRP1	0.43	0.107
GO:0042981	NF1	0.47	0.588
GO:0042981	NOTCH2	0.43	0.438
GO:0042981	PIK3CA	0.36	0.507
GO:0042981	PHIP	0.47	0.331
GO:0042981	PRKCA	0.24	0.781
GO:0042981	PRKDC	0.36	0.732
GO:0042981	SON	0.38	0.832
GO:0042981	THBS1	0.83	0
GO:0042981	CACNA1A	0.41	0.38
GO:0042981	CBL	0.42	0.623
GO:0043067	EGFR	0.39	0.7
GO:0043067	FLNA	0.45	0.728
GO:0043067	LRP1	0.43	0.107
GO:0043067	NF1	0.47	0.588
GO:0043067	NOTCH2	0.43	0.438
GO:0043067	PIK3CA	0.36	0.507
GO:0043067	PHIP	0.47	0.331
GO:0043067	PRKCA	0.24	0.781
GO:0043067	PRKDC	0.36	0.732
GO:0043067	SON	0.38	0.832
GO:0043067	THBS1	0.83	0
GO:0043067	CACNA1A	0.41	0.38
GO:0043067	CBL	0.42	0.623
GO:0051276	CENPF	0.43	0.603
GO:0051276	ASCC3	0.46	0.617
GO:0051276	CREBBP	0.39	0.779
GO:0051276	PDS5A	0.49	0.486
GO:0051276	UBR2	0.35	0.681
GO:0051276	UBR5	0.33	0.235
GO:0051276	PRKCA	0.24	0.781
GO:0051276	PRKDC	0.36	0.732
GO:0051276	CHD8	0.55	0.000505
GO:0051276	BRCA2	0.4	0.424
GO:0051276	TPR	0.36	0.709
GO:0051276	SMARCA5	0.43	0.0787
GO:0051276	GTF3C4	0.24	0.755
GO:0070271	CENPF	0.43	0.603
GO:0070271	POLQ	0.39	0.211
GO:0070271	CREBBP	0.39	0.779
GO:0070271	SCUBE3	0.42	0.752
GO:0070271	FLNA	0.45	0.728
GO:0070271	TMOD2	0.4	0.537
GO:0070271	NUP98	0.65	3.76e-13
GO:0070271	STARD9	0.29	0.636
GO:0070271	SPTAN1	0.31	0.695
GO:0070271	SPTBN1	0.41	0.642
GO:0070271	TPR	0.36	0.709
GO:0070271	SMARCA5	0.43	0.0787
GO:0070271	PIEZO1	0.29	0.648
GO:1901699	EGFR	0.39	0.7
GO:1901699	FBN1	0.31	0.841
GO:1901699	UBR2	0.35	0.681
GO:1901699	NR4A1	0.42	0.186
GO:1901699	NF1	0.47	0.588
GO:1901699	PIK3CA	0.36	0.507
GO:1901699	SSH1	0.33	0.713
GO:1901699	PHIP	0.47	0.331
GO:1901699	PRKCA	0.24	0.781
GO:1901699	PRKDC	0.36	0.732
GO:1901699	SPTAN1	0.31	0.695
GO:1901699	SPTBN1	0.41	0.642
GO:1901699	THBS1	0.83	0
GO:0051641	CENPF	0.43	0.603
GO:0051641	ASCC3	0.46	0.617
GO:0051641	CEP250	0.38	0.769
GO:0051641	LYST	0.31	0.572
GO:0051641	DYNC1H1	0.54	0.41
GO:0051641	EGFR	0.39	0.7
GO:0051641	ABCA2	0.35	0.748
GO:0051641	LMTK2	0.32	0.735
GO:0051641	FLNA	0.45	0.728
GO:0051641	FLNB	0.39	0.794
GO:0051641	VPS13A	0.45	0.277
GO:0051641	DNAJC13	0.34	0.806
GO:0051641	KPNA4	0.32	0.58
GO:0051641	MYH10	0.44	0.823
GO:0051641	NF1	0.47	0.588
GO:0051641	NUMA1	0.34	0.845
GO:0051641	NUP98	0.65	3.76e-13
GO:0051641	UBR5	0.33	0.235
GO:0051641	PHIP	0.47	0.331
GO:0051641	VPS13D	0.3	0.757
GO:0051641	PRKCA	0.24	0.781
GO:0051641	KIDINS220	0.39	0.81
GO:0051641	PTPN14	0.38	0.818
GO:0051641	RAB3B	0.41	0.63
GO:0051641	SPTBN1	0.41	0.642
GO:0051641	BRCA2	0.4	0.424
GO:0051641	THBS1	0.83	0
GO:0051641	TLN1	0.45	0.844
GO:0051641	TPR	0.36	0.709
GO:0051641	CACNA1A	0.41	0.38
GO:0051641	ALMS1	0.45	0.296
GO:0051641	FYCO1	0.35	0.804
GO:0051641	FZD4	0.32	0.691
GO:0051641	DOCK7	0.35	0.786
GO:0051641	IQGAP1	0.35	0.797
GO:0051641	HERC2	0.42	0.596
GO:0051641	ROCK2	0.51	0.00105
GO:0007409	COL5A1	0.42	0.654
GO:0007409	EGFR	0.39	0.7
GO:0007409	ITGA2	0.37	0.671
GO:0007409	MYH10	0.44	0.823
GO:0007409	NF1	0.47	0.588
GO:0007409	PLXNA1	0.13	0.836
GO:0007409	SSH1	0.33	0.713
GO:0007409	SPTAN1	0.31	0.695
GO:0007409	SPTBN1	0.41	0.642
GO:0007409	TLN1	0.45	0.844
GO:0007409	CACNA1A	0.41	0.38
GO:0007409	USP9X	0.31	0.813
GO:0007409	DOCK7	0.35	0.786
GO:0007409	ROCK2	0.51	0.00105
GO:0010243	EGFR	0.39	0.7
GO:0010243	FBN1	0.31	0.841
GO:0010243	UBR2	0.35	0.681
GO:0010243	FOSB	0.57	0.00324
GO:0010243	SLC7A11	0.35	0.822
GO:0010243	NR4A1	0.42	0.186
GO:0010243	NF1	0.47	0.588
GO:0010243	PIK3CA	0.36	0.507
GO:0010243	SSH1	0.33	0.713
GO:0010243	PHIP	0.47	0.331
GO:0010243	PRKCA	0.24	0.781
GO:0010243	PRKDC	0.36	0.732
GO:0010243	SPTAN1	0.31	0.695
GO:0010243	SPTBN1	0.41	0.642
GO:0043085	EGFR	0.39	0.7
GO:0043085	SIPA1L3	0.36	0.774
GO:0043085	NF1	0.47	0.588
GO:0043085	PIK3CA	0.36	0.507
GO:0043085	PRKCA	0.24	0.781
GO:0043085	KIDINS220	0.39	0.81
GO:0043085	SPTAN1	0.31	0.695
GO:0043085	SPTBN1	0.41	0.642
GO:0043085	THBS1	0.83	0
GO:0043085	FZD4	0.32	0.691
