feat	diff_pep	diff_fdr	diff_bf	cv_ev	cv_sd	cv_map	cv_ci_lower	cv_ci_upper
BRD3	1.00e0	9.98e-1	2.72	0.22	0.04	0.19	0.14	0.31
ZBED6	1.00e0	9.98e-1	2.72	0.23	0.05	0.21	0.14	0.35
FAM63B	1.00e0	9.98e-1	2.72	0.23	0.05	0.22	0.14	0.33
KCTD2	1.00e0	9.98e-1	2.72	0.25	0.06	0.35	0.15	0.38
REST	1.00e0	9.98e-1	2.72	0.21	0.06	0.17	0.11	0.36
RNF213	1.00e0	9.98e-1	2.72	0.23	0.06	0.19	0.17	0.36
SBNO1	1.00e0	9.98e-1	2.72	0.21	0.06	0.28	0.12	0.33
VPS39	1.00e0	9.98e-1	2.72	0.22	0.03	0.22	0.16	0.28
ROCK2	1.00e0	9.98e-1	2.72	0.20	0.05	0.26	0.11	0.30
INTS3	1.00e0	9.98e-1	2.72	0.23	0.04	0.20	0.17	0.31
BOD1L1	1.00e0	9.98e-1	2.72	0.18	0.05	0.14	0.10	0.27
KDM4A	1.00e0	9.98e-1	2.72	0.24	0.03	0.26	0.17	0.31
LSM11	1.00e0	9.98e-1	2.72	0.18	0.11	0.08	0.02	0.42
DIP2C	1.00e0	9.98e-1	2.72	0.21	0.04	0.20	0.13	0.28
ARHGEF11	1.00e0	9.98e-1	2.72	0.21	0.08	0.19	0.08	0.37
ZNF614	1.00e0	9.98e-1	2.72	0.20	0.10	0.32	0.03	0.40
UBE4A	1.00e0	9.98e-1	2.72	0.17	0.09	0.03	0.00	0.36
EHMT1	1.00e0	9.98e-1	2.72	0.17	0.10	0.03	0.00	0.39
PLEKHG3	1.00e0	9.98e-1	2.72	0.20	0.10	0.06	0.03	0.39
CSTF2T	1.00e0	9.98e-1	2.72	0.22	0.11	0.32	0.05	0.40
KANK1	1.00e0	9.98e-1	2.72	0.19	0.07	0.22	0.07	0.34
MAGI3	1.00e0	9.98e-1	2.72	0.18	0.10	0.02	0.00	0.37
SSH2	1.00e0	9.98e-1	2.72	0.19	0.10	0.36	0.03	0.38
NINL	1.00e0	9.98e-1	2.72	0.21	0.10	0.30	0.04	0.38
NOTCH1	1.00e0	9.98e-1	2.72	0.19	0.11	0.03	0.00	0.39
ANPEP	1.00e0	9.98e-1	2.72	0.17	0.09	0.02	0.00	0.33
HIVEP1	1.00e0	9.98e-1	2.72	0.21	0.10	0.31	0.03	0.39
SLC9A6	1.00e0	9.98e-1	2.72	0.22	0.10	0.34	0.04	0.37
SIPA1L2	1.00e0	9.98e-1	2.72	0.23	0.09	0.32	0.06	0.39
TARBP1	1.00e0	9.98e-1	2.72	0.18	0.10	0.06	0.02	0.38
RAB22A	1.00e0	9.98e-1	2.72	0.21	0.09	0.36	0.04	0.38
ZBTB11	1.00e0	9.98e-1	2.72	0.17	0.09	0.03	0.00	0.35
UBR2	1.00e0	9.98e-1	2.72	0.16	0.10	0.07	0.02	0.34
PHF16	1.00e0	9.98e-1	2.72	0.20	0.09	0.27	0.04	0.37
CDON	1.00e0	9.98e-1	2.72	0.17	0.09	0.03	0.00	0.36
blank011	1.00e0	9.98e-1	2.72	0.17	0.09	0.26	0.02	0.35
